,order_number,order_date,ship_date,customer_name,channel,warehouse_code,suburb,product,order_quantity,city,unit_price,unit_cost,revenue
21,SO - 0004386,2017-01-03,2017-01-08,Victory Ltd,Distributor,AXW291,Cashmere,Product 7,9,Christchurch,668.928,267.57120000000003,3612.2111999999997
22,SO - 0004592,2017-01-03,2017-01-06,Pure Group,Wholesale,AXW291,Hamilton East,Product 2,12,Hamilton,3244.1400000000003,2206.0152000000003,12457.4976
23,SO - 0005716,2017-01-03,2017-01-08,Apollo Ltd,Wholesale,AXW291,Regent,Product 2,12,Whangarei,140.7,113.96700000000001,320.7959999999997
24,SO - 0005751,2017-01-03,2017-01-21,"Apotheca, Ltd",Wholesale,AXW291,Kaiapoi,Product 2,5,Waimakariri,1165.8,990.93,874.35
25,SO - 0006419,2017-01-03,2017-01-18,Weimei Corp,Distributor,AXW291,Riverside,Product 2,10,Whangarei,1058.6000000000001,666.9180000000001,3916.82
26,SO - 0006790,2017-01-03,2017-01-13,Trigen ,Wholesale,AXW291,Birkdale,Product 1,10,North Shore,2532.6,1696.842,8357.579999999998
27,SO - 0006962,2017-01-03,2017-01-10,OUR Ltd,Distributor,AXW291,Waimate,Product 11,9,Waimate,3345.8460000000005,1539.0891600000002,16260.811560000002
28,SO - 0007587,2017-01-03,2017-01-06,Procter Corp,Export,AXW291,Grafton,Product 6,10,Auckland,2391.9,1363.383,10285.17
29,SO - 0001259,2017-01-04,2017-01-11,Sundial ,Distributor,AXW291,Napier South,Product 1,8,Napier,2448.4480000000003,1664.9446400000004,6268.026879999999
30,SO - 0002564,2017-01-04,2017-01-13,"Exact-Rx, Corp",Wholesale,AXW291,Henderson,Product 7,12,Waitakere,107.2,66.464,488.83200000000005
31,SO - 0002922,2017-01-04,2017-01-15,Winthrop ,Wholesale,AXW291,Henderson,Product 1,6,Waitakere,262.774,131.387,788.322
32,SO - 0002932,2017-01-04,2017-01-12,"Apotheca, Ltd",Wholesale,AXW291,Otamatea,Product 1,5,Wanganui,1368.006,670.32294,3488.4153000000006
33,SO - 0004007,2017-01-04,2017-01-13,Victory Ltd,Wholesale,AXW291,Raglan,Product 11,11,Waikato,607.02,352.07159999999993,2804.4324000000006
34,SO - 0004967,2017-01-04,2017-01-09,"Apotheca, Ltd",Distributor,AXW291,Maraenui,Product 8,12,Napier,2461.3120000000004,1427.56096,12405.012480000005
35,SO - 0005147,2017-01-04,2017-01-18,"Fenwal, Corp",Export,AXW291,Redwood,Product 11,6,Christchurch,639.18,466.60139999999996,1035.4715999999999
36,SO - 0005582,2017-01-04,2017-01-11,Pure Group,Wholesale,AXW291,Titirangi,Product 8,7,Waitakere,1625.152,1040.09728,4095.3830400000006
37,SO - 0007099,2017-01-04,2017-01-20,Llorens Ltd,Distributor,AXW291,Raglan,Product 5,7,Waikato,3899.4,1598.754,16104.522
38,SO - 000513,2017-01-05,2017-01-15,Amylin Group,Distributor,AXW291,Dannemora,Product 5,11,Manukau,3946.3,2012.613,21270.557
39,SO - 0001219,2017-01-05,2017-01-20,Pacific Ltd,Wholesale,AXW291,Cashmere,Product 7,5,Christchurch,108.54,78.1488,151.95600000000007
40,SO - 0001802,2017-01-05,2017-01-10,Ei ,Distributor,AXW291,Algies Bay,Product 13,9,Rodney,1159.1000000000001,533.186,5633.226000000001
41,SO - 0003588,2017-01-05,2017-01-15,Mylan Corp,Export,AXW291,Northcote,Product 7,7,North Shore,128.64,82.3296,324.17279999999994
42,SO - 0005064,2017-01-05,2017-01-11,Uriel Group,Distributor,AXW291,Queenwood,Product 11,8,Hamilton,2626.4,1365.728,10085.376
43,SO - 0005739,2017-01-05,2017-01-20,AuroMedics Corp,Wholesale,AXW291,Nightcaps,Product 7,5,Southland,1392.7289999999998,738.14637,3272.913149999999
44,SO - 0001627,2017-01-06,2017-01-09,Niconovum Corp,Distributor,AXW291,Chartwell,Product 14,10,Hamilton,2375.82,1805.6232000000002,5701.967999999999
45,SO - 0002047,2017-01-06,2017-01-09,U.S. Ltd,Wholesale,AXW291,Algies Bay,Product 11,9,Rodney,1136.32,636.3392000000001,4499.827199999998
46,SO - 0003949,2017-01-06,2017-01-12,21st Ltd,Wholesale,AXW291,Algies Bay,Product 7,6,Rodney,3088.7000000000003,2069.429,6115.626000000001
47,SO - 0003973,2017-01-06,2017-01-20,ETUDE Ltd,Wholesale,AXW291,Aramoho,Product 8,7,Wanganui,6170.7,4998.267,8207.030999999999
48,SO - 0004731,2017-01-06,2017-01-19,Niconovum Corp,Distributor,AXW291,Timaru Central,Product 11,6,Timaru,1519.56,1018.1052,3008.7288
49,SO - 0005824,2017-01-06,2017-01-17,Ohio ,Wholesale,AXW291,Parklands,Product 13,6,Christchurch,667.32,467.12399999999997,1201.1760000000004
50,SO - 0006514,2017-01-06,2017-01-19,O.E. Ltd,Wholesale,AXW291,Riverside,Product 10,10,Whangarei,647.22,258.888,3883.3200000000006
51,SO - 0006820,2017-01-06,2017-01-11,Pacific Ltd,Wholesale,AXW291,Rototuna,Product 6,7,Hamilton,687.42,309.339,2646.5669999999996
52,SO - 0007187,2017-01-06,2017-01-23,Medline ,Wholesale,AXW291,Te Atatu Peninsula,Product 7,11,Waitakere,1031.8,588.126,4880.414
53,SO - 0006661,2017-01-07,2017-01-14,Amylin Group,Wholesale,AXW291,Te Aroha,Product 7,6,Matamata-Piako,2156.864,1445.09888,4270.59072
54,SO - 0006737,2017-01-07,2017-01-12,Ohio ,Wholesale,AXW291,Ngatea,Product 7,6,Hauraki,1206.0,964.8000000000001,1447.1999999999996
55,SO - 0007183,2017-01-07,2017-01-23,Ole Group,Distributor,AXW291,Port Taranaki,Product 1,9,New Plymouth,160.79999999999998,133.464,246.02399999999986
56,SO - 0002801,2017-01-08,2017-01-15,New Ltd,Distributor,AXW291,Napier South,Product 2,6,Napier,660.352,264.1408,2377.2672
57,SO - 0005813,2017-01-08,2017-01-22,Weimei Corp,Wholesale,AXW291,Tapanui,Product 1,7,Clutha,1159.1000000000001,788.1880000000001,2596.384
58,SO - 0007632,2017-01-08,2017-01-13,Weimei Corp,Distributor,AXW291,Tapanui,Product 2,10,Clutha,2363.7599999999998,1110.9671999999998,12527.928
59,SO - 000992,2017-01-09,2017-01-24,Bare ,Export,AXW291,Waimate,Product 7,7,Waimate,3912.8,2778.088,7942.984
60,SO - 0002398,2017-01-09,2017-01-13,OHTA'S Corp,Wholesale,AXW291,Okitu,Product 13,12,Gisborne,1197.96,982.3272,2587.593600000001
61,SO - 0002741,2017-01-09,2017-01-24,"Fenwal, Corp",Wholesale,AXW291,Okitu,Product 7,9,Gisborne,1775.5,1473.665,2716.5150000000003
62,SO - 0003918,2017-01-09,2017-01-12,Uriel Group,Wholesale,AXW291,Chartwell,Product 13,6,Hamilton,707.52,544.7904,976.3776
63,SO - 0004955,2017-01-09,2017-01-15,E. Ltd,Export,AXW291,Titirangi,Product 8,8,Waitakere,5894.66,2475.7572,27351.2224
64,SO - 0005615,2017-01-09,2017-01-17,Select ,Wholesale,AXW291,New Lynn,Product 5,5,Waitakere,2363.7599999999998,1252.7928000000002,5554.8359999999975
65,SO - 0001521,2017-01-10,2017-01-19,Procter Corp,Export,AXW291,Brightwater,Product 12,7,Tasman,639.18,434.6424,1431.7631999999996
66,SO - 0003239,2017-01-10,2017-01-24,OUR Ltd,Distributor,AXW291,Thames,Product 2,6,Thames-Coromandel,2538.496,1015.3984000000002,9138.5856
67,SO - 0005857,2017-01-10,2017-01-14,O.E. Ltd,Wholesale,AXW291,Otamatea,Product 11,9,Wanganui,1072.0,600.32,4245.12
68,SO - 0006447,2017-01-10,2017-01-22,New Ltd,Distributor,AXW291,North East Valley,Product 2,5,Dunedin,2680.0,2117.2000000000003,2813.9999999999986
69,SO - 0007054,2017-01-10,2017-01-18,"Fenwal, Corp",Distributor,AXW291,Tapanui,Product 5,8,Clutha,3106.857,2236.93704,6959.359680000001
70,SO - 000657,2017-01-11,2017-01-22,Eminence Corp,Export,AXW291,Highbury,Product 11,10,Palmerston North,1118.9,492.31600000000003,6265.84
71,SO - 0003221,2017-01-11,2017-01-18,Bare ,Wholesale,AXW291,Grafton,Product 2,9,Auckland,1342.68,845.8884,4471.124400000001
72,SO - 0003879,2017-01-11,2017-01-18,"PEDIFIX, Corp",Wholesale,AXW291,Whitianga,Product 2,9,Thames-Coromandel,1273.0,1043.86,2062.260000000001
73,SO - 0005097,2017-01-11,2017-01-26,Avon Corp,Distributor,AXW291,Matua,Product 4,12,Tauranga,2505.8,1954.5240000000001,6615.312000000001
74,SO - 000521,2017-01-12,2017-01-21,Weimei Corp,Wholesale,AXW291,Timaru Central,Product 5,5,Timaru,1105.5,740.6850000000001,1824.0749999999998
75,SO - 0003792,2017-01-12,2017-01-20,Wuxi Group,Wholesale,AXW291,Maraenui,Product 11,7,Napier,187.6,146.328,288.90399999999994
76,SO - 0004448,2017-01-12,2017-01-21,Winthrop ,Wholesale,AXW291,New Lynn,Product 7,11,Waitakere,2307.48,1569.0864000000001,8122.329599999999
77,SO - 0005756,2017-01-12,2017-01-15,OUR Ltd,Export,AXW291,Birkdale,Product 7,5,North Shore,2178.84,936.9011999999999,6209.694000000001
78,SO - 0007230,2017-01-12,2017-01-16,Sundial ,Distributor,AXW291,Sandringham,Product 11,6,Auckland,3899.4,3275.496,3743.424
79,SO - 0003422,2017-01-13,2017-01-20,Trigen ,Distributor,AXW291,Whangamata,Product 2,11,Thames-Coromandel,271.953,149.57415,1346.1673499999997
80,SO - 0004790,2017-01-13,2017-01-18,"Apotheca, Ltd",Export,AXW291,Cambridge,Product 5,12,Waipa,1085.4,607.8240000000001,5730.912
81,SO - 0007086,2017-01-13,2017-01-25,Eminence Corp,Wholesale,AXW291,Titirangi,Product 2,7,Waitakere,1500.8,780.416,5042.687999999999
82,SO - 0007336,2017-01-13,2017-01-24,ETUDE Ltd,Distributor,AXW291,Maraenui,Product 2,11,Napier,675.36,371.4480000000001,3343.0319999999992
83,SO - 0008075,2017-01-13,2017-01-29,S.S.S. Group,Wholesale,AXW291,Dannemora,Product 2,7,Manukau,474.36,294.1032,1261.7975999999999
84,SO - 000893,2017-01-14,2017-02-01,ETUDE Ltd,Distributor,AXW291,Northcote,Product 14,11,North Shore,6103.7,2746.665,36927.384999999995
85,SO - 0003170,2017-01-14,2017-02-01,E. Ltd,Distributor,AXW291,Taupo,Product 14,11,Taupo,1181.8799999999999,496.3895999999999,7540.394399999999
86,SO - 0003190,2017-01-14,2017-01-31,Dharma Ltd,Wholesale,AXW291,Maraenui,Product 6,10,Napier,247.23,197.78400000000002,494.4599999999997
87,SO - 0003227,2017-01-14,2017-01-27,Victory Ltd,Wholesale,AXW291,Dannevirke,Product 1,7,Tararua,1065.3,862.893,1416.8489999999995
88,SO - 0005834,2017-01-14,2017-01-23,Dharma Ltd,Wholesale,AXW291,Queenwood,Product 5,7,Hamilton,2343.66,1523.3790000000001,5741.966999999998
89,SO - 0006227,2017-01-14,2017-01-25,Medsep Group,Wholesale,AXW291,Farm Cove,Product 7,11,Manukau,741.8240000000001,385.7484800000001,3916.83072
90,SO - 0007460,2017-01-14,2017-01-17,"Elorac, Corp",Wholesale,AXW291,Otaki Beach,Product 1,10,Kapiti Coast,647.488,356.11840000000007,2913.696
91,SO - 0001326,2017-01-15,2017-01-21,"Elorac, Corp",Distributor,AXW291,Kaiapoi,Product 11,12,Waimakariri,120.6,91.65599999999999,347.32800000000003
92,SO - 0003367,2017-01-15,2017-01-25,Amylin Group,Wholesale,AXW291,Milson,Product 1,5,Palmerston North,1780.86,712.3439999999999,5342.58
93,SO - 0003549,2017-01-15,2017-01-31,Bare ,Distributor,AXW291,Port Taranaki,Product 1,12,New Plymouth,1045.2,480.79200000000003,6772.896000000001
94,SO - 0006511,2017-01-15,2017-01-20,Nipro ,Distributor,AXW291,Grafton,Product 11,8,Auckland,1479.36,1124.3136,2840.3711999999996
95,SO - 0006598,2017-01-15,2017-01-23,Ei ,Wholesale,AXW291,Hamilton East,Product 2,11,Hamilton,923.26,572.4212,3859.2268
96,SO - 0007322,2017-01-15,2017-01-22,Apollo Ltd,Wholesale,AXW291,Dannemora,Product 11,5,Manukau,2572.8,1981.056,2958.7200000000007
97,SO - 000107,2017-01-16,2017-01-24,Linde ,Distributor,AXW291,Ngatea,Product 1,10,Hauraki,1264.1560000000002,568.8702000000001,6952.858000000001
98,SO - 000593,2017-01-16,2017-01-27,Eminence Corp,Wholesale,AXW291,Te Kuiti,Product 13,8,Waitomo,3550.4640000000004,2698.3526400000005,6816.890879999999
99,SO - 000654,2017-01-16,2017-01-29,Medline ,Wholesale,AXW291,Oamaru North,Product 11,11,Waitaki,631.14,309.2586,3540.6953999999996
100,SO - 0001892,2017-01-16,2017-01-25,Linde ,Distributor,AXW291,Putaruru,Product 5,6,South Waikato,3155.7000000000003,2240.547,5490.9180000000015
101,SO - 0002825,2017-01-16,2017-01-29,Niconovum Corp,Wholesale,AXW291,Cannons Creek,Product 10,5,Porirua,2032.5120000000002,1219.5072,4065.024000000001
102,SO - 0004556,2017-01-16,2017-01-19,AuroMedics Corp,Distributor,AXW291,Harrowfield,Product 2,10,Hamilton,2307.48,1246.0392000000002,10614.408
103,SO - 0005016,2017-01-16,2017-01-20,Sundial ,Distributor,AXW291,Henderson,Product 13,10,Waitakere,1571.8200000000002,1163.1468,4086.732000000002
104,SO - 0005689,2017-01-16,2017-01-28,Avon Corp,Distributor,AXW291,Kawakawa,Product 11,5,Far North,635.1600000000001,470.01840000000004,825.7080000000002
105,SO - 0006321,2017-01-16,2017-01-25,Medline ,Distributor,AXW291,Birkdale,Product 2,9,North Shore,2363.7599999999998,1489.1688,7871.320799999999
106,SO - 000144,2017-01-17,2017-01-25,Ohio ,Wholesale,AXW291,Taupo,Product 5,7,Taupo,1857.24,1207.2060000000001,4550.237999999999
107,SO - 000357,2017-01-17,2017-01-30,Bare ,Wholesale,AXW291,Harrowfield,Product 2,8,Hamilton,891.1,739.6129999999999,1211.8960000000006
108,SO - 0001466,2017-01-17,2017-01-27,Burt's Corp,Wholesale,AXW291,Hataitai,Product 2,10,Wellington,703.5,429.135,2743.65
109,SO - 0002331,2017-01-17,2017-01-25,Eminence Corp,Wholesale,AXW291,Saint Kilda,Product 6,6,Dunedin,1093.44,666.9984,2558.6496000000006
110,SO - 0002409,2017-01-17,2017-01-29,"PEDIFIX, Corp",Wholesale,AXW291,Farm Cove,Product 7,9,Manukau,663.3,464.30999999999995,1790.91
111,SO - 0002878,2017-01-17,2017-01-25,OUR Ltd,Distributor,AXW291,Oamaru North,Product 2,11,Waitaki,615.0600000000001,381.33720000000005,2570.9508
112,SO - 0003178,2017-01-17,2017-01-22,Ascend Ltd,Export,AXW291,Algies Bay,Product 1,5,Rodney,471.68,235.84,1179.2
113,SO - 0003419,2017-01-17,2017-01-29,U.S. Ltd,Export,AXW291,Whitianga,Product 9,10,Thames-Coromandel,659.28,382.38239999999996,2768.976
114,SO - 0003637,2017-01-17,2017-01-30,Trigen ,Distributor,AXW291,Tapanui,Product 1,6,Clutha,442.2,181.30199999999996,1565.3880000000001
115,SO - 000418,2017-01-18,2017-01-27,Ole Group,Wholesale,AXW291,Dannemora,Product 13,7,Manukau,422.09999999999997,189.945,1625.0849999999998
116,SO - 0001373,2017-01-18,2017-01-29,Pure Group,Distributor,AXW291,Regent,Product 5,12,Whangarei,1519.56,1109.2788,4923.374399999999
117,SO - 0003278,2017-01-18,2017-02-05,U.S. Ltd,Wholesale,AXW291,Dannemora,Product 5,5,Manukau,2291.4,1443.5819999999999,4239.090000000001
118,SO - 0003642,2017-01-18,2017-01-21,ETUDE Ltd,Export,AXW291,Nightcaps,Product 5,6,Southland,480.256,312.1664,1008.5375999999998
119,SO - 0006249,2017-01-18,2017-01-31,Rochester Ltd,Distributor,AXW291,Stewart Island,Product 1,7,Southland,1832.3160000000003,1136.03592,4873.960560000001
120,SO - 0006328,2017-01-18,2017-01-25,Wuxi Group,Wholesale,AXW291,Opaheke,Product 6,8,Papakura,158.656,72.98176000000001,685.39392
121,SO - 0006428,2017-01-18,2017-02-04,Capweld ,Export,AXW291,Algies Bay,Product 7,12,Rodney,1760.76,862.7724,10775.851200000001
122,SO - 0007229,2017-01-18,2017-02-04,Ohio ,Wholesale,AXW291,Kingsland,Product 11,6,Auckland,2327.58,1256.8932,6424.1208
123,SO - 0007857,2017-01-18,2017-01-29,WakeFern ,Export,AXW291,Atawhai,Product 4,7,Nelson,2393.3740000000003,1172.7532600000002,8544.34518
124,SO - 0008068,2017-01-18,2017-01-30,Medline ,Wholesale,AXW291,Freemans Bay,Product 7,7,Auckland,3607.8160000000003,2850.17464,5303.489520000001
125,SO - 000561,2017-01-19,2017-01-23,"Fenwal, Corp",Wholesale,AXW291,Cashmere,Product 1,7,Christchurch,723.6,397.98,2279.34
126,SO - 0002217,2017-01-19,2017-02-05,Ohio ,Wholesale,AXW291,Saint Kilda,Product 14,9,Dunedin,659.28,290.0832,3322.7712
127,SO - 0003600,2017-01-19,2017-02-06,Nipro ,Wholesale,AXW291,Taupo,Product 7,5,Taupo,124.62,87.23400000000001,186.92999999999998
128,SO - 0003757,2017-01-19,2017-01-23,Winthrop ,Wholesale,AXW291,Henderson,Product 11,9,Waitakere,2445.5,1393.935,9464.085000000001
129,SO - 0003773,2017-01-19,2017-01-28,AuroMedics Corp,Wholesale,AXW291,North East Valley,Product 7,7,Dunedin,1586.56,1285.1136000000001,2110.1247999999987
130,SO - 0004807,2017-01-19,2017-02-04,Linde ,Wholesale,AXW291,Onekawa Industrial,Product 7,10,Napier,603.0,349.73999999999995,2532.6000000000004
131,SO - 0005301,2017-01-19,2017-01-26,Victory Ltd,Export,AXW291,Queenwood,Product 8,7,Hamilton,269.87600000000003,186.21444,585.6309200000003
132,SO - 0005616,2017-01-19,2017-02-04,21st Ltd,Wholesale,AXW291,Tapanui,Product 5,7,Clutha,1197.96,934.4088,1844.8584
133,SO - 0007476,2017-01-19,2017-02-04,WakeFern ,Export,AXW291,Milson,Product 13,11,Palmerston North,2578.026,2088.20106,5388.074339999999
134,SO - 0001344,2017-01-20,2017-02-02,Bare ,Wholesale,AXW291,Frimley,Product 7,5,Hastings,2271.3,1294.641,4883.295
135,SO - 0002122,2017-01-20,2017-01-25,Llorens Ltd,Wholesale,AXW291,Wanaka,Product 1,6,Queenstown-Lakes,530.64,413.8992,700.4447999999999
136,SO - 0002222,2017-01-20,2017-02-06,Qualitest ,Wholesale,AXW291,Bay View,Product 1,12,Napier,1842.5,902.8249999999999,11276.1
137,SO - 0005352,2017-01-20,2017-01-24,Qualitest ,Distributor,AXW291,Cashmere,Product 11,5,Christchurch,1136.3200000000002,806.7872000000001,1647.6640000000002
138,SO - 000219,2017-01-21,2017-01-28,Apollo Ltd,Export,AXW291,North East Valley,Product 9,8,Dunedin,1049.22,661.0086,3105.6912
139,SO - 000619,2017-01-21,2017-02-02,AuroMedics Corp,Distributor,AXW291,Dannemora,Product 2,8,Manukau,1078.7,755.09,2588.88
140,SO - 0001310,2017-01-21,2017-01-31,Ole Group,Wholesale,AXW291,Port Taranaki,Product 10,7,New Plymouth,471.68,400.92799999999994,495.26400000000046
141,SO - 0002610,2017-01-21,2017-01-26,Bare ,Wholesale,AXW291,Kaiapoi,Product 5,10,Waimakariri,1788.9,751.338,10375.62
142,SO - 0003341,2017-01-21,2017-01-25,Medline ,Wholesale,AXW291,Favona,Product 5,12,Manukau,1334.64,1054.3656,3363.2928
143,SO - 0003868,2017-01-21,2017-01-25,Avon Corp,Wholesale,AXW291,Brightwater,Product 1,8,Tasman,2663.25,1411.5225,10013.82
144,SO - 0004528,2017-01-21,2017-02-03,Burt's Corp,Wholesale,AXW291,Titirangi,Product 11,11,Waitakere,4069.3120000000004,2522.97344,17009.72416
145,SO - 0006086,2017-01-21,2017-02-02,Rochester Ltd,Distributor,AXW291,Whangamata,Product 2,12,Thames-Coromandel,4204.384,1807.88512,28757.98656
146,SO - 0006234,2017-01-21,2017-01-28,Procter Corp,Wholesale,AXW291,Otamatea,Product 13,6,Wanganui,1983.2,1269.248,4283.7119999999995
147,SO - 0006644,2017-01-21,2017-02-03,Eminence Corp,Distributor,AXW291,Tapanui,Product 11,7,Clutha,5507.400000000001,2533.4040000000005,20817.972
148,SO - 0007123,2017-01-21,2017-01-30,Ascend Ltd,Distributor,AXW291,Bay View,Product 9,11,Napier,603.0,319.59,3117.51
149,SO - 0003397,2017-01-22,2017-01-28,Procter Corp,Wholesale,AXW291,Whangamata,Product 13,10,Thames-Coromandel,201.0,142.70999999999998,582.9000000000002
150,SO - 0004965,2017-01-22,2017-02-07,"Fenwal, Corp",Distributor,AXW291,South Hill,Product 14,7,Waitaki,3825.7000000000003,1874.593,13657.749000000002
151,SO - 0006379,2017-01-22,2017-01-27,Ole Group,Wholesale,AXW291,Napier South,Product 5,8,Napier,1038.5,726.9499999999999,2492.4000000000005
152,SO - 0007641,2017-01-22,2017-01-25,Select ,Distributor,AXW291,Turangi,Product 9,10,Taupo,247.23,207.6732,395.5679999999998
153,SO - 0007767,2017-01-22,2017-01-28,Niconovum Corp,Wholesale,AXW291,Dannemora,Product 1,6,Manukau,1105.5,751.74,2122.56
154,SO - 0004252,2017-01-23,2017-02-05,"3LAB, Ltd",Export,AXW291,Napier South,Product 5,10,Napier,603.0,410.04,1929.6
155,SO - 0005888,2017-01-23,2017-02-04,Medline ,Distributor,AXW291,Queenwood,Product 2,9,Hamilton,2355.7200000000003,1884.5760000000002,4240.296
156,SO - 0006536,2017-01-23,2017-02-08,21st Ltd,Wholesale,AXW291,Kawakawa,Product 7,10,Far North,694.6560000000001,423.74016000000006,2709.1584000000003
157,SO - 0006863,2017-01-23,2017-02-01,Victory Ltd,Wholesale,AXW291,North East Valley,Product 13,5,Dunedin,1001.3820000000001,801.1056000000001,1001.3819999999998
158,SO - 0007141,2017-01-23,2017-02-02,New Ltd,Wholesale,AXW291,Bay View,Product 11,8,Napier,2619.7000000000003,2174.351,3562.7920000000013
159,SO - 0002449,2017-01-24,2017-01-29,S.S.S. Group,Wholesale,AXW291,Titirangi,Product 1,7,Waitakere,1145.7,641.5920000000001,3528.7559999999994
160,SO - 0003322,2017-01-24,2017-01-28,Procter Corp,Wholesale,AXW291,Aramoho,Product 7,7,Wanganui,6485.667,5123.6769300000005,9533.930489999999
161,SO - 0003376,2017-01-24,2017-01-31,Weimei Corp,Distributor,AXW291,Riverside,Product 5,9,Whangarei,112.55999999999999,83.29439999999998,263.39040000000006
162,SO - 0004653,2017-01-24,2017-02-10,Ohio ,Wholesale,AXW291,Parahaki,Product 1,9,Whangarei,1516.3439999999998,970.46016,4912.954559999998
163,SO - 0004727,2017-01-24,2017-02-11,Procter Corp,Export,AXW291,Cannons Creek,Product 1,9,Porirua,2982.84,2117.8163999999997,7785.212400000004
164,SO - 000185,2017-01-25,2017-02-05,Medsep Group,Export,AXW291,Kawakawa,Product 5,9,Far North,3486.1440000000002,2265.9936000000002,10981.3536
165,SO - 0005852,2017-01-25,2017-01-28,E. Ltd,Wholesale,AXW291,Takaro,Product 5,9,Palmerston North,562.8,450.24000000000007,1013.039999999999
166,SO - 0006229,2017-01-25,2017-02-08,OHTA'S Corp,Wholesale,AXW291,Parklands,Product 11,9,Christchurch,1366.8,697.068,6027.588
167,SO - 0007796,2017-01-25,2017-02-03,Wuxi Group,Distributor,AXW291,Cannons Creek,Product 7,5,Porirua,1782.2,1497.048,1425.7600000000002
168,SO - 0001851,2017-01-26,2017-02-04,Pure Group,Export,AXW291,Brightwater,Product 11,9,Tasman,2740.3,1205.7320000000002,13811.112
169,SO - 0003418,2017-01-26,2017-02-07,Select ,Export,AXW291,Harewood,Product 11,12,Christchurch,917.9,523.203,4736.364
170,SO - 0003535,2017-01-26,2017-02-06,21st Ltd,Wholesale,AXW291,Otamatea,Product 11,5,Wanganui,1264.96,936.0704,1644.4480000000003
171,SO - 0004051,2017-01-26,2017-02-08,21st Ltd,Wholesale,AXW291,Dannemora,Product 7,8,Manukau,1943.0,1224.09,5751.280000000001
172,SO - 0005008,2017-01-26,2017-02-10,Ascend Ltd,Distributor,AXW291,Bay View,Product 11,11,Napier,544.576,446.55231999999995,1078.2604800000008
